cp,r,q,moneyness,days,sigma,european,american,premium,premium_pct,premium_bp,vega
call,0.0,0.04,0.85,365,0.4,8.244645699830642,8.44043283525249,0.195787135421849,2.374718605868907,53.532582690135456,36.573452201088564
call,0.0,0.04,0.85,730,0.2,3.1791703861936504,3.45441864592257,0.27524825972891964,8.6578643574517,68.29183976151315,40.30470707629695
call,0.0,0.04,0.85,730,0.4,12.759314580390669,13.335686893636414,0.576372313245745,4.517267049215565,111.85163721495313,51.530073908358624
call,0.0,0.04,1.0,30,0.2,2.1230349332277854,2.145993688348521,0.022958755120735752,1.0814120277253325,20.147927042726366,11.395095421999818
call,0.0,0.04,1.0,30,0.4,4.402678509069304,4.423257161203733,0.020578652134428665,0.46741210133871103,18.05921878872441,11.395095421999818
call,0.0,0.04,1.0,91,0.2,3.4861143720010546,3.5674830839848095,0.08136871198375495,2.3340803915463257,41.3090815183429,19.69753598797009
call,0.0,0.04,1.0,91,0.4,7.428897131012,7.503862149588633,0.0749650185766324,1.0091002372840814,38.05806910184904,19.69753598797009
call,0.0,0.04,1.0,365,0.2,6.003997632506753,6.404037782795729,0.40004015028897655,6.662896536185912,104.89064780581147,38.138781546052414
call,0.0,0.04,1.0,365,0.4,13.657230720516083,14.057189921310833,0.39995920079475056,2.92855271306156,104.86942282406204,38.138781546052414
call,0.0,0.04,1.0,730,0.2,7.396337485348852,8.274043021009943,0.8777055356610912,11.866758884376324,170.2198788831027,51.56304548094816
call,0.0,0.04,1.0,730,0.4,17.77797309922748,18.721759192705605,0.9437860934781241,5.308738449599382,183.0353666419568,51.56304548094816
call,0.0,0.04,1.15,30,0.2,12.730659567049372,13.043478260869563,0.3128186938201907,2.4572072811518417,4993.286153433884,0.6264786038850692
call,0.0,0.04,1.15,30,0.4,13.3258173899182,13.434637432001264,0.10882004208306384,0.8166106355726658,207.8287110591117,5.236044698949834
call,0.0,0.04,1.15,91,0.2,12.472961808065534,13.058577389113005,0.5856155810474704,4.6950803671088535,738.2092538035823,7.932921160634583
