days,cp,moneyness,t0,annual,ndiv,exdate_inside,reference,scalar_bp,matched_bp,schedule_bp
91,put,0.9,0.02,0.04,1,true,13.2051963700763,171.9396305840381,169.35583131351126,0.2949711474475982
91,put,0.9,0.1,0.02,1,true,12.795266719508808,78.44720297221996,78.25389340960443,0.1637396687117949
91,put,0.9,0.1,0.04,1,true,13.186441806817086,159.89109343549842,158.50463886601577,0.17250917285227937
91,put,0.9,0.2,0.02,1,true,12.670775222375292,0.9602602496333006,1.3917451116868287,0.20138273687150207
91,put,0.9,0.2,0.04,1,true,13.05739033563528,77.19079372314661,77.29257805017257,0.14124589330276419
91,put,1.0,0.02,0.02,1,true,5.373261810713072,23.12229070578887,22.6873674873184,0.1566420899504996
91,put,1.0,0.02,0.04,1,true,5.613113665371544,43.81688118322065,42.34255094039137,0.14608855083237757
91,put,1.0,0.1,0.02,1,true,5.380511055344581,26.800055329661042,26.679099329202312,0.14212102756950235
91,put,1.0,0.1,0.04,1,true,5.628605378234155,51.69053332792361,50.898938154851606,0.10643606238553457
91,put,1.0,0.2,0.02,1,true,5.360420784566198,16.607309757993846,16.877351162152667,0.11006826570833367
91,put,1.0,0.2,0.04,1,true,5.615857224374719,45.20979917479646,45.26795588218278,0.07151821107916556
91,put,1.1,0.02,0.02,1,true,1.855896593850836,8.83124717053001,8.531188547793402,0.2227932248212929
91,put,1.1,0.02,0.04,1,true,1.9696677038468435,17.141843407507185,16.157586855779268,0.1864521626245394
91,put,1.1,0.1,0.02,1,true,1.86237754549851,13.28950479297804,13.20605328722227,0.19511013441654332
91,put,1.1,0.1,0.04,1,true,1.9830177841708985,26.12133652030611,25.592803860906695,0.12921299066037237
91,put,1.1,0.2,0.02,1,true,1.8659581426486682,15.75369889385552,15.940029653758739,0.15657116277496766
91,put,1.1,0.2,0.04,1,true,1.9946938470329298,33.9787122443087,34.017544032881986,0.08432567750294206
182,call,0.9,0.02,0.02,2,true,4.183189584588025,7.7141114664671955,7.974604919018176,0.02340501415802535
182,call,0.9,0.02,0.04,2,true,3.8637378177845547,10.322840082797072,11.976100563951334,0.030835716929275205
182,call,0.9,0.1,0.02,2,true,4.195549397417969,12.482937818520735,12.31361229010998,0.005247445877409909
182,call,0.9,0.1,0.04,2,true,3.8971107972878722,23.602805712566592,24.489298876819415,0.06166421093021581
182,call,0.9,0.2,0.02,2,true,4.244458632096215,31.35294201479177,30.64828316921222,0.3842281297678478
182,call,0.9,0.2,0.04,2,true,4.027346560630921,75.4158504232163,75.34719952436153,1.1923543707948225
182,call,1.0,0.02,0.02,2,true,8.280733348615916,7.795701945409226,8.186055908778119,0.001302196980785347
182,call,1.0,0.02,0.04,2,true,7.758592881564051,3.6650534922472304,5.978679337787784,0.03326773157985579
182,call,1.0,0.1,0.02,2,true,8.294943787075905,12.947666349985854,12.693913931540537,0.031866689517757354
182,call,1.0,0.1,0.04,2,true,7.830026556754423,29.660799055083,30.901912456285174,0.23381245395373976
182,call,1.0,0.2,0.02,2,true,8.39583562391655,49.52574041485107,48.469655433704496,0.7929689829293189
182,call,1.0,0.2,0.04,2,true,8.066089032964312,115.56306380338522,115.46692172395947,1.3300371493097969
182,call,1.1,0.02,0.02,2,true,13.393470511542223,7.7685788560961395,8.38845689807688,0.032133861458513484
182,call,1.1,0.02,0.04,2,true,12.704613862897558,10.038737453592226,6.748038678020477,0.13989222364490264
182,call,1.1,0.1,0.02,2,true,13.406496050923636,13.46938070760464,13.066399571330104,0.06638780860485263
182,call,1.1,0.1,0.04,2,true,12.839849987278642,47.92555417709086,49.691177937667554,0.5586009135931962
182,call,1.1,0.2,0.02,2,true,13.572877552548334,86.2890566262444,84.61176580909344,1.6922776514200804
182,call,1.1,0.2,0.04,2,true,13.162576136577801,186.28309910526372,186.14625997875095,2.0351159893720143
182,put,0.9,0.02,0.02,2,true,14.483331665269263,64.12414897036636,63.7815591223663,0.431440913836819
182,put,0.9,0.02,0.04,2,true,15.17426749281666,148.68287570466455,145.80252824726512,0.4573700303344875
182,put,0.9,0.1,0.02,2,true,14.427096409972332,42.4173604652451,42.640028738994246,0.32861004169263425
182,put,0.9,0.1,0.04,2,true,15.0890195900085,114.72426594731265,113.18103069561283,0.3688621636742839
182,put,0.9,0.2,0.02,2,true,14.329863479533756,4.89536697105383,5.821813044634605,0.06903488078808673
182,put,0.9,0.2,0.04,2,true,14.93347935784613,52.80721616271913,52.9265760739792,0.03451343250935458
