cp,days,divfrac,tfrac,moneyness,lattice,fd,absdiff,volbp
call,182,0.01,0.85,1.0,8.513650145402242,8.513954367688836,0.0003042222865943245,0.11029432482964445
call,182,0.01,0.85,1.1,13.772392731497064,13.772801088038106,0.00040835654104220964,0.17873672298069623
call,182,0.02,0.25,0.9,3.8583281335515847,3.8583011516086465,2.698194293815348e-5,0.010741322563182984
call,182,0.02,0.25,1.0,7.751236456794878,7.751222208168288,1.4248626589719038e-5,0.005185516170524008
call,182,0.02,0.25,1.1,12.701184688867176,12.701247660782073,6.297191489679221e-5,0.026987087307299408
call,182,0.02,0.6,0.9,3.9435240721510003,3.943591564842214,6.749269121364421e-5,0.026856237080932578
call,182,0.02,0.6,1.0,7.959497804798458,7.959601058929887,0.00010325413142897588,0.03757470865319118
call,182,0.02,0.6,1.1,13.125506099896036,13.125908671789952,0.0004025718939164591,0.17257238871341318
call,182,0.02,0.85,0.9,4.177866518782189,4.178229805685725,0.0003632869035365971,0.1445103849498378
call,182,0.02,0.85,1.0,8.37933687867098,8.379973654857102,0.0006367761861216792,0.2317145276777809
call,182,0.02,0.85,1.1,13.661330244464622,13.66214962263781,0.000819378173186891,0.3513149952214401
call,365,0.005,0.25,0.9,8.229175801728367,8.229130301156983,4.55005713835277e-5,0.011533068692675891
call,365,0.005,0.25,1.0,12.699222804725899,12.699176980574018,4.582415188103539e-5,0.011956501969412359
call,365,0.005,0.25,1.1,17.59196644531802,17.5919299600914,3.648522661947595e-5,0.011040331334276737
call,365,0.005,0.6,0.9,8.250702580802884,8.250663683383154,3.889741972962213e-5,0.009858409979246441
call,365,0.005,0.6,1.0,12.722070873737742,12.72203222782367,3.8645914072432674e-5,0.010083509375125433
call,365,0.005,0.6,1.1,17.613767315328005,17.613737933322042,2.9382005962474977e-5,0.008891631072137815
call,365,0.005,0.85,0.9,8.265428108723329,8.265393476413669,3.463230966005426e-5,0.00877683535110378
call,365,0.005,0.85,1.0,12.73813378030102,12.738100081776764,3.3698524255498796e-5,0.008792611913882491
call,365,0.005,0.85,1.1,17.62944648883817,17.629422274045325,2.4214792844645672e-5,0.007328336777143116
call,365,0.01,0.25,0.9,8.018986823358127,8.018945606279866,4.121707826065801e-5,0.010522039110925486
call,365,0.01,0.25,1.0,12.415295355373228,12.415256427795084,3.8927578144054564e-5,0.010161339911720023
call,365,0.01,0.25,1.1,17.24531338626789,17.245285178685137,2.820758275134949e-5,0.008487537187881712
call,365,0.01,0.6,0.9,8.061804140449368,8.061776140254581,2.8000194786770294e-5,0.007146536868541747
call,365,0.01,0.6,1.0,12.46100131139567,12.460976786131274,2.452526439533642e-5,0.006401773436536366
call,365,0.01,0.6,1.1,17.28914661244452,17.289132649724966,1.3962719553006764e-5,0.004201963096997254
call,365,0.01,0.85,0.9,8.127149529169735,8.127318003978825,0.00016847480909021328,0.042993958886260564
call,365,0.01,0.85,1.0,12.578806761641049,12.57908511856701,0.0002783569259605656,0.07265805434007705
call,365,0.01,0.85,1.1,17.477484651830693,17.477974530499036,0.0004898786683433798,0.14744079661281356
call,365,0.02,0.25,0.9,7.608983016601895,7.608950365107465,3.26514944299916e-5,0.008464092244938637
call,365,0.02,0.25,1.0,11.858165569552899,11.858140636103018,2.4933449880748526e-5,0.006520262584533201
call,365,0.02,0.25,1.1,16.561798132433807,16.561787086751472,1.1045682335009133e-5,0.003289209224616059
call,365,0.02,0.6,0.9,7.696280241471832,7.69629259197253,1.2350500698588007e-5,0.003200135395457116
call,365,0.02,0.6,1.0,11.971584736289849,11.971679916090038,9.517980018891592e-5,0.024888450245711
call,365,0.02,0.6,1.1,16.72984298824327,16.730007000205344,0.00016401196207382895,0.04885320753695912
call,365,0.02,0.85,0.9,7.957262344837518,7.957592259239527,0.0003299144020090239,0.08545722156209568
call,365,0.02,0.85,1.0,12.399104491038674,12.399847530126513,0.0007430390878386817,0.19428714696597715
call,365,0.02,0.85,1.1,17.31474282412345,17.315384211309404,0.0006413871859543008,0.19108288542239288
put,30,0.005,0.25,0.9,11.750736394383441,11.750755942945146,1.9548561704496592e-5,0.03967005462833192
put,30,0.005,0.25,1.0,3.3028367656424105,3.302785058308981,5.170733342962919e-5,0.04544425072887727
put,30,0.005,0.25,1.1,0.46219304150086826,0.46217625056951644,1.679093135181775e-5,0.03053249242841126
put,30,0.005,0.6,0.9,11.70307312063588,11.703081480774715,8.360138835428188e-6,0.016963620723612283
put,30,0.005,0.6,1.0,3.306394000108436,3.306344272886272,4.972722216400882e-5,0.04370378821013376
put,30,0.005,0.6,1.1,0.46495511092472985,0.46493945012608756,1.5660798642291862e-5,0.02847977452546823
put,30,0.005,0.85,0.9,11.649526968845759,11.649517412210008,9.556635751195586e-6,0.01939007408608916
put,30,0.005,0.85,1.0,3.3015704012466855,3.301523174131964,4.7227114721604124e-5,0.04150638658028452
put,30,0.005,0.85,1.1,0.46661532687130325,0.46660140640719583,1.3920464107419761e-5,0.025316371092400647
put,30,0.01,0.25,0.9,12.213836385329062,12.213855998861995,1.9613532932893918e-5,0.04346884146988683
put,30,0.01,0.25,1.0,3.561819439145027,3.5617698020047754,4.963714025141286e-5,0.04387975443171731
put,30,0.01,0.25,1.1,0.5247982400200988,0.5247859872524286,1.2252767670140052e-5,0.02080263102551447
put,30,0.01,0.6,0.9,12.162782760777763,12.162790924037354,8.163259591853489e-6,0.018088211423985635
put,30,0.01,0.6,1.0,3.570245972552498,3.5702003663225743,4.560622992366703e-5,0.04031566324334435
put,30,0.01,0.6,1.1,0.5307546405939271,0.5307448466449647,9.793948962388832e-6,0.016630628461036925
