case,cp,S,K,r,q,sigma,T,american,european,diff,diff_bp
q=0 call,call,100.0,142.85714285714286,0.02,0.0,0.15,2.0,0.7373532472774045,0.7373531760909424,7.118646205839241e-8,3.300390268865867e-5
q=0 call,call,100.0,142.85714285714286,0.05,0.0,0.15,2.0,1.3205983962349008,1.3205983498694813,4.636541950375772e-8,1.5114337710063e-5
q=0 call,call,100.0,142.85714285714286,0.08,0.0,0.15,2.0,2.2282249004809733,2.2282248965890297,3.891943656242347e-9,9.663447032985819e-7
q=0 call,call,100.0,142.85714285714286,0.0,0.0,0.3,2.0,5.594598288371848,5.594598310095236,-2.1723388421435175e-8,4.691312830543515e-6
q=0 call,call,100.0,142.85714285714286,0.02,0.0,0.3,2.0,6.475705239766759,6.475705296969426,-5.720266749165148e-8,1.1694362107387222e-5
q=0 call,call,100.0,142.85714285714286,0.05,0.0,0.3,2.0,7.973017180721141,7.973017288515333,-1.0779419223894138e-7,2.0638779162865346e-5
q=0 call,call,100.0,142.85714285714286,0.08,0.0,0.3,2.0,9.68694639514052,9.686946546626835,-1.514863150475776e-7,2.7712539064973837e-5
q=0 call,call,100.0,142.85714285714286,0.0,0.0,0.6,2.0,21.704265795147215,21.704266104263535,-3.091163200963365e-7,5.4789861855935e-5
q=0 call,call,100.0,142.85714285714286,0.02,0.0,0.6,2.0,22.85699377602957,22.856994104471184,-3.284416152382619e-7,5.8290693820410304e-5
q=0 call,call,100.0,142.85714285714286,0.05,0.0,0.6,2.0,24.638969341060502,24.638969692544933,-3.5148443089383363e-7,6.276259044523396e-5
q=0 call,call,100.0,142.85714285714286,0.08,0.0,0.6,2.0,26.480162579289612,26.480162946494136,-3.672045245650679e-7,6.630220717106691e-5
q=0 call,call,100.0,117.64705882352942,0.0,0.0,0.15,0.0821917808219178,8.671673454627529e-5,8.671642517537465e-5,3.0937090064221684e-10,NaN
q=0 call,call,100.0,117.64705882352942,0.02,0.0,0.15,0.0821917808219178,0.00010178694772571299,0.00010178659845115103,3.4927456196362505e-10,NaN
q=0 call,call,100.0,117.64705882352942,0.05,0.0,0.15,0.0821917808219178,0.00012912026584388747,0.00012911984820159796,4.176422895127603e-10,NaN
q=0 call,call,100.0,117.64705882352942,0.08,0.0,0.15,0.0821917808219178,0.00016330571533893916,0.0001633052178740442,4.974648949609799e-10,NaN
q=0 call,call,100.0,117.64705882352942,0.0,0.0,0.3,0.0821917808219178,0.10586913944714396,0.10586911269403254,2.6753111420640963e-8,0.00012867658433987064
q=0 call,call,100.0,117.64705882352942,0.02,0.0,0.3,0.0821917808219178,0.11113264889896934,0.1111326219142712,2.6984698142662467e-8,0.00012531249721238683
q=0 call,call,100.0,117.64705882352942,0.05,0.0,0.3,0.0821917808219178,0.11945633252155412,0.11945630522803885,2.7293515267312607e-8,0.00012032646225553998
q=0 call,call,100.0,117.64705882352942,0.08,0.0,0.3,0.0821917808219178,0.12831822375639002,0.1283181962011115,2.755527850339945e-8,0.00011542191795010677
q=0 call,call,100.0,117.64705882352942,0.0,0.0,0.6,0.0821917808219178,1.7209113180304554,1.7209113126143407,5.416114667866623e-9,6.847214919266861e-6
q=0 call,call,100.0,117.64705882352942,0.02,0.0,0.6,0.0821917808219178,1.7503678872701585,1.7503678831577076,4.1124508243228775e-9,5.156825566685622e-6
q=0 call,call,100.0,117.64705882352942,0.05,0.0,0.6,0.0821917808219178,1.7952815838052318,1.7952815816538745,2.1513573145170994e-9,2.6653365695491735e-6
q=0 call,call,100.0,117.64705882352942,0.08,0.0,0.6,0.0821917808219178,1.841078572799143,1.841078572623342,1.758009293695295e-10,2.1523242698501632e-7
q=0 call,call,100.0,117.64705882352942,0.0,0.0,0.15,0.2493150684931507,0.04321044707741087,0.04321042842620937,1.865120149990851e-8,9.096216825237721e-5
q=0 call,call,100.0,117.64705882352942,0.02,0.0,0.15,0.2493150684931507,0.05190864613006138,0.05190862625073711,1.9879324270055676e-8,8.430670027418104e-5
q=0 call,call,100.0,117.64705882352942,0.05,0.0,0.15,0.2493150684931507,0.06787821278695429,0.06787819124209937,2.1544854914012923e-8,7.470900943704346e-5
q=0 call,call,100.0,117.64705882352942,0.08,0.0,0.15,0.2493150684931507,0.08803734498894539,0.08803732208978898,2.2899156404410093e-8,6.557659533010121e-5
q=0 call,call,100.0,117.64705882352942,0.0,0.0,0.3,0.2493150684931507,1.1463802358575932,1.146380215876789,1.998080412235481e-8,1.6705607936425485e-5
q=0 call,call,100.0,117.64705882352942,0.02,0.0,0.3,0.2493150684931507,1.2203951355273013,1.2203951189835927,1.6543708625249565e-8,1.3381995731934093e-5
