cp,divpct,moneyness,days,tfrac,sigma_cash,european,const_yield,cash_jump,missed,missed_pct,premium_captured_pct
put,0.04,0.9,30,0.5,0.29403314595306385,14.83742131314888,14.837421340014412,15.013967303760499,0.17654596374608644,1.1758781684696193,1.5217299428990488e-5
put,0.04,0.9,91,0.5,0.2940129813317607,15.296885369617073,15.296885368115513,15.659724384671376,0.3628390165558635,2.3170204509539825,0.0
put,0.04,0.9,365,0.5,0.29392127553783565,17.47808715582847,17.858846366572845,18.494814317130558,0.6359679505577134,3.4386284698660483,37.44949729254307
put,0.04,1.0,30,0.5,0.2938706095603415,5.450259356503153,5.450259325999393,5.50691758725795,0.05665826125855755,1.0288561679160573,0.0
put,0.04,1.0,91,0.5,0.2938496920999141,7.2982000734707455,7.298200003741769,7.4482845446887165,0.15008454094694734,2.015021580425131,0.0
put,0.04,1.0,365,0.5,0.29375455211660384,10.961071951232505,11.15082030457663,11.548828391539013,0.398008086962383,3.446307049241242,32.28350049982841
put,0.04,1.2,30,0.5,0.2935744125774149,0.14271294324542305,0.14271296653356147,0.14331114091666994,0.0005981743831084685,0.41739559065842935,0.003893050664863756
put,0.04,1.2,91,0.5,0.29355210709005164,1.0498558158643618,1.0498558273822067,1.0634846084988,0.01362878111659338,1.2815212376069622,8.451111708128185e-5
put,0.04,1.2,365,0.5,0.293450633678786,4.1199508863264,4.168879677721636,4.299971735059365,0.131092057337729,3.0486725358886377,27.179513783880978
put,0.08,0.9,30,0.5,0.2878442340340266,18.70468425800543,18.704684278402038,18.912131193771458,0.20744691536942028,1.096898669134344,9.832205412445722e-6
put,0.08,0.9,91,0.5,0.2878026673580605,18.618347641753743,18.61834766817146,19.072476550399557,0.45412888222809755,2.381069291279762,5.817228437080654e-6
put,0.08,0.9,365,0.5,0.28761353516292143,19.858722414374235,19.88241851618246,21.06663785371211,1.1842193375296475,5.621302011991338,1.9617351543429273
put,0.08,1.0,30,0.5,0.28750618511578063,8.383886346923632,8.383886347885518,8.483704820914625,0.09981847302910651,1.1765905949842457,9.636358200396783e-7
put,0.08,1.0,91,0.5,0.28746298175788687,9.70013380276842,9.70013375555705,9.921725954360186,0.22159219880313508,2.2334037426800175,0.0
put,0.08,1.0,365,0.5,0.28726637278094747,12.785777047030173,12.7943427063184,13.520209679199654,0.7258669728812546,5.368755293773101,1.1662961193491685
put,0.08,1.2,30,0.5,0.2868882194175736,0.4229671089315268,0.42296712293333705,0.42514623861681455,0.002179115683477506,0.5125567359050656,0.0006425413944528392
put,0.08,1.2,91,0.5,0.286841975917166,1.725510845277448,1.7255108288988419,1.7519811910116823,0.026470362112840373,1.5108816378077126,0.0
put,0.08,1.2,365,0.5,0.28663147329143146,5.06632774019635,5.06751976380338,5.312025623720266,0.24450585991688545,4.6028742561984535,0.48515827240107406
