days,divfrac,tfrac,moneyness,exact,lattice_bp,fd_bp
182,0.02,0.85,1.0,8.970408299409906,0.016446633092943915,0.014503909385746094
182,0.02,0.85,1.1,4.545418164316306,0.023937652042806137,0.013865192983673927
365,0.005,0.25,0.9,18.43601071837003,0.00038643523049068255,0.014129791654042165
365,0.005,0.25,1.0,11.371867925673019,0.001152350289589493,0.014956566043496208
365,0.005,0.25,1.1,6.859847715851688,0.0018946807008455625,0.01445405652029116
365,0.005,0.6,0.9,18.454246949233905,0.0019120121941974162,0.014128085783470254
365,0.005,0.6,1.0,11.391415666037824,0.002789664848293441,0.014946708937169356
365,0.005,0.6,1.1,6.878284297053742,0.003695539627565925,0.014445526463686662
365,0.005,0.85,0.9,18.466814701718633,0.0029056395648935384,0.014126429077754502
365,0.005,0.85,1.0,11.405313852815508,0.003933831025392635,0.014939905254601211
365,0.005,0.85,1.1,6.891771484079532,0.005034641579735964,0.014440069805725785
365,0.01,0.25,0.9,18.751228059021916,0.0008779346083126839,0.01405291135093179
365,0.01,0.25,1.0,11.613380809383633,0.002437542231422908,0.014942630848839386
365,0.01,0.25,1.1,7.03541033463576,0.003922788110453345,0.014503033442500427
365,0.01,0.6,0.9,18.787470624736525,0.003961053373137128,0.01405078643746338
365,0.01,0.6,1.0,11.652486361581037,0.0057360462999850575,0.014923402850742633
365,0.01,0.6,1.1,7.072532912027501,0.007526266853875913,0.014485548874416115
365,0.01,0.85,0.9,18.812383628407073,0.006011381187881598,0.014048511500857917
365,0.01,0.85,1.0,11.680205240935464,0.008057030242291992,0.014909953693651985
365,0.01,0.85,1.1,7.09960454323411,0.010183969067153777,0.014473995481036884
365,0.02,0.25,0.9,19.391734437283606,0.0018956432157040985,0.013891287755602088
365,0.02,0.25,1.0,12.107392356859885,0.005051025922504967,0.01490598345904703
365,0.02,0.25,1.1,7.3970629232938405,0.008061720943728617,0.01459109602836173
365,0.02,0.6,0.9,19.46324068992683,0.008007695467304548,0.013892192769294659
365,0.02,0.6,1.0,12.185563558267393,0.01159651612158794,0.014869726544291795
365,0.02,0.6,1.1,7.472233389143686,0.015258421978052026,0.01455480471636872
365,0.02,0.85,0.9,19.512149576346864,0.012046638603597197,0.013890511170811446
365,0.02,0.85,1.0,12.240638865022074,0.016125124423254148,0.014844032867008484
365,0.02,0.85,1.1,7.5267040592176935,0.02046776573544502,0.014530371136988724
